run_id,mode,K,dtype,peak_rss_mb,wall_sec,iters,top10_signature
1,csr_block,8,float32,31.94140625,0.635066499999084,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
2,csr_block,8,float32,35.49609375,0.9190211999994062,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
3,csr_block,8,float32,35.5703125,0.6579348000013852,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
4,csr_block,8,float32,31.5859375,0.8815380000014557,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
5,csr_block,8,float32,36.48828125,0.8538072000010288,15,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
6,csr_block,8,float64,36.078125,0.5927941000009014,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
7,csr_block,8,float64,35.75,0.8152817000009236,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
8,csr_block,8,float64,36.3203125,0.6330152000009548,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
9,csr_block,8,float64,36.7890625,0.6795616000017617,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
10,csr_block,8,float64,31.7578125,0.8735228000005009,12,"75,8686,9678,5104,725,3257,468,7730,7175,5526"
